Preferred Entry Date 1,Preferred Division 1,Minimum Acceptable Group Size 1,Maximum Requested Group Size 1,Preferred Entry Date 2,Preferred Division 2,Minimum Acceptable Group Size 2,Maximum Requested Group Size 2,Preferred Entry Date 3,Preferred Division 3,Minimum Acceptable Group Size 3,Maximum Requested Group Size 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
8/31/21,Core Enchantment Zone,4,4,9/7/21,Core Enchantment Zone,4,4,9/14/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/4/21,Core Enchantment Zone,4,4,9/1/21,Core Enchantment Zone,4,4,7/6/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
9/1/21,Core Enchantment Zone,6,6,8/25/21,Snow Zone,6,6,9/8/21,Colchuck Zone,6,6,Unsuccessful,,,,
9/14/21,Core Enchantment Zone,6,6,9/15/21,Core Enchantment Zone,8,8,9/17/21,Core Enchantment Zone,8,8,Accepted,1,9/14/21,Core Enchantment Zone,6
8/24/21,Core Enchantment Zone,3,3,8/25/21,Core Enchantment Zone,3,3,8/11/21,Core Enchantment Zone,3,3,Unsuccessful,,,,
8/9/21,Core Enchantment Zone,6,6,8/10/21,Core Enchantment Zone,6,6,8/11/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
8/21/21,Core Enchantment Zone,8,8,8/14/21,Core Enchantment Zone,8,8,9/11/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/19/21,Core Enchantment Zone,4,4,8/23/21,Core Enchantment Zone,4,4,9/6/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/8/21,Eightmile/Caroline Zone (stock),8,8,8/15/21,Eightmile/Caroline Zone (stock),8,8,8/22/21,Eightmile/Caroline Zone (stock),8,8,Unsuccessful,,,,
9/30/21,Core Enchantment Zone,4,4,10/7/21,Core Enchantment Zone,4,4,10/14/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/15/21,Colchuck Zone,8,8,6/15/21,Core Enchantment Zone,8,8,7/8/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
6/4/21,Colchuck Zone,8,8,9/3/21,Colchuck Zone,8,8,6/5/21,Colchuck Zone,8,8,Unsuccessful,,,,
7/8/21,Core Enchantment Zone,4,4,7/29/21,Core Enchantment Zone,4,4,8/8/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/26/21,Core Enchantment Zone,3,3,7/27/21,Core Enchantment Zone,3,3,8/9/21,Core Enchantment Zone,3,3,Unsuccessful,,,,
7/20/21,Colchuck Zone,2,2,9/9/21,Colchuck Zone,2,2,8/30/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
8/18/21,Core Enchantment Zone,4,4,8/19/21,Core Enchantment Zone,4,4,8/20/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/21/21,Core Enchantment Zone,4,4,5/26/21,Core Enchantment Zone,4,4,8/4/21,Core Enchantment Zone,4,4,Accepted,2,5/26/21,Core Enchantment Zone,4
7/30/21,Colchuck Zone,4,4,8/26/21,Colchuck Zone,4,4,6/25/21,Colchuck Zone,4,4,Accepted,1,7/30/21,Colchuck Zone,4
9/19/21,Core Enchantment Zone,6,6,9/20/21,Core Enchantment Zone,6,6,9/21/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
8/21/21,Core Enchantment Zone,2,2,7/24/21,Colchuck Zone,2,2,6/19/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
8/20/21,Core Enchantment Zone,5,5,8/20/21,Snow Zone,5,5,8/20/21,Colchuck Zone,5,5,Unsuccessful,,,,
8/5/21,Core Enchantment Zone,4,4,8/13/21,Core Enchantment Zone,4,4,8/20/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
9/22/21,Core Enchantment Zone,2,2,9/29/21,Core Enchantment Zone,2,2,9/30/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
8/25/21,Colchuck Zone,8,8,8/19/21,Colchuck Zone,8,8,8/26/21,Colchuck Zone,8,8,Unsuccessful,,,,
8/25/21,Core Enchantment Zone,8,8,7/29/21,Core Enchantment Zone,8,8,9/1/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
5/16/21,Core Enchantment Zone,2,2,5/23/21,Core Enchantment Zone,2,2,5/30/21,Core Enchantment Zone,2,2,Declined,1,5/16/21,Core Enchantment Zone,2
6/24/21,Core Enchantment Zone,8,8,7/8/21,Core Enchantment Zone,8,8,7/15/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
5/15/21,Core Enchantment Zone,8,8,6/12/21,Core Enchantment Zone,8,8,6/26/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
6/5/21,Colchuck Zone,4,4,9/11/21,Colchuck Zone,6,6,7/24/21,Colchuck Zone,3,3,Unsuccessful,,,,
7/22/21,Stuart  Zone,4,4,8/13/21,Stuart  Zone,4,4,7/25/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
6/5/21,Core Enchantment Zone,8,8,7/9/21,Core Enchantment Zone,8,8,8/19/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/8/21,Stuart  Zone,8,8,7/15/21,Snow Zone,8,8,7/7/21,Stuart  Zone,8,8,Unsuccessful,,,,
7/2/21,Core Enchantment Zone,5,5,8/19/21,Core Enchantment Zone,5,5,9/3/21,Core Enchantment Zone,5,5,Unsuccessful,,,,
7/14/21,Core Enchantment Zone,8,8,7/14/21,Colchuck Zone,8,8,7/21/21,Snow Zone,8,8,Unsuccessful,,,,
9/18/21,Core Enchantment Zone,4,4,8/21/21,Core Enchantment Zone,4,4,,,,,Unsuccessful,,,,
7/15/21,Colchuck Zone,5,5,7/16/21,Colchuck Zone,5,5,7/14/21,Colchuck Zone,5,5,Unsuccessful,,,,
8/24/21,Colchuck Zone,4,4,8/31/21,Colchuck Zone,4,4,9/7/21,Colchuck Zone,4,4,Unsuccessful,,,,
10/1/21,Core Enchantment Zone,3,3,9/24/21,Core Enchantment Zone,3,3,10/8/21,Colchuck Zone,6,6,Unsuccessful,,,,
6/5/21,Colchuck Zone,8,8,7/10/21,Colchuck Zone,8,8,7/31/21,Colchuck Zone,8,8,Unsuccessful,,,,
6/27/21,Colchuck Zone,4,4,7/15/21,Stuart  Zone,4,4,8/6/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/25/21,Core Enchantment Zone,4,4,7/26/21,Core Enchantment Zone,4,4,7/18/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
6/18/21,Core Enchantment Zone,3,3,7/2/21,Colchuck Zone,3,3,8/27/21,Snow Zone,4,4,Unsuccessful,,,,
7/10/21,Core Enchantment Zone,3,3,7/16/21,Colchuck Zone,3,3,7/17/21,Core Enchantment Zone,3,3,Unsuccessful,,,,
6/30/21,Stuart  Zone,6,6,7/7/21,Stuart  Zone,6,6,8/11/21,Stuart  Zone,6,6,Accepted,1,6/30/21,Stuart  Zone,6
7/21/21,Stuart  Zone,2,2,7/22/21,Stuart  Zone,2,2,7/28/21,Stuart  Zone,2,2,Unsuccessful,,,,
7/26/21,Core Enchantment Zone,5,5,8/2/21,Core Enchantment Zone,5,5,8/9/21,Core Enchantment Zone,5,5,Unsuccessful,,,,
7/12/21,Core Enchantment Zone,2,2,7/12/21,Colchuck Zone,2,2,7/12/21,Snow Zone,2,2,Unsuccessful,,,,
8/8/21,Core Enchantment Zone,2,2,8/7/21,Core Enchantment Zone,2,2,8/6/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
7/21/21,Core Enchantment Zone,3,3,7/28/21,Snow Zone,3,3,7/21/21,Stuart  Zone,3,3,Unsuccessful,,,,
8/5/21,Core Enchantment Zone,8,8,8/12/21,Core Enchantment Zone,8,8,8/22/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
8/1/21,Core Enchantment Zone,2,2,8/2/21,Core Enchantment Zone,2,2,8/3/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
6/21/21,Core Enchantment Zone,8,8,7/22/21,Eightmile/Caroline Zone,8,8,7/2/21,Colchuck Zone,8,8,Unsuccessful,,,,
9/7/21,Core Enchantment Zone,4,4,9/7/21,Snow Zone,4,4,9/7/21,Colchuck Zone,4,4,Unsuccessful,,,,
9/14/21,Snow Zone,2,2,9/13/21,Core Enchantment Zone,2,2,9/27/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
7/23/21,Colchuck Zone,4,4,8/11/21,Core Enchantment Zone,2,2,8/13/21,Colchuck Zone,4,4,Unsuccessful,,,,
8/7/21,Snow Zone,3,3,8/14/21,Snow Zone,3,3,7/17/21,Snow Zone,3,3,Unsuccessful,,,,
7/30/21,Snow Zone,3,3,8/2/21,Snow Zone,3,3,9/3/21,Snow Zone,3,3,Unsuccessful,,,,
6/23/21,Core Enchantment Zone,8,8,6/23/21,Colchuck Zone,8,8,6/23/21,Snow Zone,8,8,Unsuccessful,,,,
7/19/21,Core Enchantment Zone,8,8,5/22/21,Core Enchantment Zone,8,8,6/19/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/17/21,Colchuck Zone,3,3,7/24/21,Colchuck Zone,3,3,7/31/21,Colchuck Zone,3,3,Unsuccessful,,,,
7/24/21,Core Enchantment Zone,4,4,7/31/21,Core Enchantment Zone,4,4,8/7/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
10/1/21,Core Enchantment Zone,3,3,10/4/21,Core Enchantment Zone,3,3,10/6/21,Colchuck Zone,3,3,Unsuccessful,,,,
6/21/21,Core Enchantment Zone,8,8,9/13/21,Core Enchantment Zone,8,8,9/24/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/15/21,Core Enchantment Zone,4,4,8/16/21,Stuart  Zone,8,8,8/23/21,Colchuck Zone,6,6,Unsuccessful,,,,
9/17/21,Core Enchantment Zone,8,8,9/24/21,Core Enchantment Zone,8,8,10/1/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
8/12/21,Core Enchantment Zone,8,8,9/3/21,Eightmile/Caroline Zone,8,8,8/27/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
8/10/21,Core Enchantment Zone,4,4,9/15/21,Core Enchantment Zone,4,4,7/6/21,Core Enchantment Zone,4,4,Accepted,1,8/10/21,Core Enchantment Zone,4
10/7/21,Core Enchantment Zone,2,2,8/4/21,Core Enchantment Zone,2,2,7/21/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
7/21/21,Core Enchantment Zone,4,4,8/18/21,Core Enchantment Zone,4,4,7/29/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/14/21,Snow Zone,4,4,7/14/21,Snow Zone,4,4,7/14/21,Snow Zone,4,4,Unsuccessful,,,,
8/17/21,Core Enchantment Zone,6,6,9/14/21,Core Enchantment Zone,6,6,9/7/21,Colchuck Zone,6,6,Unsuccessful,,,,
8/9/21,Stuart  Zone,4,4,8/24/21,Snow Zone,4,4,9/9/21,Colchuck Zone,4,4,Accepted,1,8/9/21,Stuart  Zone,4
8/6/21,Core Enchantment Zone,8,8,8/6/21,Colchuck Zone,8,8,8/9/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
8/21/21,Core Enchantment Zone,4,4,8/21/21,Stuart  Zone,4,4,8/20/21,Core Enchantment Zone,4,4,No Response,2,8/21/21,Stuart  Zone,4
7/21/21,Core Enchantment Zone,2,2,8/3/21,Core Enchantment Zone,4,4,8/16/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
6/14/21,Core Enchantment Zone,4,4,6/21/21,Core Enchantment Zone,4,4,7/19/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
5/29/21,Stuart  Zone,3,3,7/3/21,Snow Zone,3,3,9/4/21,Colchuck Zone,2,2,Unsuccessful,,,,
8/13/21,Snow Zone,4,4,8/13/21,Core Enchantment Zone,4,4,8/13/21,Core Enchantment Zone,5,5,Unsuccessful,,,,
9/1/21,Core Enchantment Zone,4,4,,,,,,,,,Unsuccessful,,,,
7/23/21,Core Enchantment Zone,6,6,8/20/21,Core Enchantment Zone,6,6,8/13/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
8/23/21,Core Enchantment Zone,2,2,8/9/21,Core Enchantment Zone,2,2,9/6/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
7/10/21,Core Enchantment Zone,8,8,7/18/21,Core Enchantment Zone,8,8,7/26/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/19/21,Colchuck Zone,4,4,7/27/21,Colchuck Zone,4,4,8/10/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/15/21,Core Enchantment Zone,3,3,8/16/21,Core Enchantment Zone,3,3,8/15/21,Colchuck Zone,3,3,Unsuccessful,,,,
9/8/21,Core Enchantment Zone,4,4,9/1/21,Core Enchantment Zone,4,4,8/25/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/25/21,Core Enchantment Zone,6,6,8/18/21,Core Enchantment Zone,6,6,8/17/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
9/21/21,Snow Zone,4,4,9/28/21,Snow Zone,4,4,10/5/21,Snow Zone,6,6,Accepted,1,9/21/21,Snow Zone,4
6/19/21,Core Enchantment Zone,6,6,8/21/21,Eightmile/Caroline Zone,6,6,9/11/21,Stuart Zone (stock),6,6,Accepted,2,8/21/21,Eightmile/Caroline Zone,6
8/16/21,Core Enchantment Zone,8,8,8/16/21,Stuart  Zone,8,8,8/9/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
8/14/21,Core Enchantment Zone,4,4,7/31/21,Core Enchantment Zone,4,4,8/6/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/12/21,Core Enchantment Zone,6,6,8/19/21,Core Enchantment Zone,6,6,8/5/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
7/25/21,Colchuck Zone,3,3,7/18/21,Colchuck Zone,3,3,7/25/21,Stuart  Zone,3,3,Unsuccessful,,,,
8/12/21,Stuart  Zone,8,8,8/26/21,Core Enchantment Zone,8,8,7/2/21,Colchuck Zone,8,8,Unsuccessful,,,,
8/22/21,Core Enchantment Zone,8,8,8/25/21,Core Enchantment Zone,8,8,8/29/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/26/21,Core Enchantment Zone,4,4,9/6/21,Colchuck Zone,4,4,8/9/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/22/21,Colchuck Zone,8,8,8/19/21,Snow Zone,8,8,8/5/21,Core Enchantment Zone,8,8,Cancelled,,,,
7/23/21,Core Enchantment Zone,8,8,9/24/21,Core Enchantment Zone,8,8,7/30/21,Core Enchantment Zone,8,8,Accepted,3,7/30/21,Core Enchantment Zone,8
9/18/21,Core Enchantment Zone,4,4,9/4/21,Core Enchantment Zone,4,4,7/10/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
9/30/21,Core Enchantment Zone,8,8,9/30/21,Colchuck Zone,8,8,9/30/21,Snow Zone,8,8,Accepted,3,9/30/21,Snow Zone,8
8/7/21,Core Enchantment Zone,2,2,8/14/21,Core Enchantment Zone,2,2,10/2/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
9/26/21,Core Enchantment Zone,8,8,10/3/21,Core Enchantment Zone,8,8,10/10/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
8/23/21,Core Enchantment Zone,8,8,8/24/21,Core Enchantment Zone,8,8,8/25/21,Colchuck Zone,8,8,Unsuccessful,,,,
9/4/21,Core Enchantment Zone,6,6,,,,,,,,,Unsuccessful,,,,
7/28/21,Snow Zone,4,4,7/14/21,Snow Zone,4,4,8/11/21,Snow Zone,4,4,Unsuccessful,,,,
8/27/21,Colchuck Zone,1,1,8/27/21,Stuart  Zone,1,1,8/27/21,Snow Zone,1,1,Unsuccessful,,,,
7/6/21,Core Enchantment Zone,6,6,6/29/21,Core Enchantment Zone,6,6,9/22/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
7/9/21,Stuart  Zone,5,5,7/16/21,Colchuck Zone,5,5,7/23/21,Eightmile/Caroline Zone,5,5,Unsuccessful,,,,
8/26/21,Colchuck Zone,8,8,8/26/21,Snow Zone,8,8,,,,,Unsuccessful,,,,
8/11/21,Core Enchantment Zone,4,4,8/18/21,Snow Zone,4,4,8/25/21,Eightmile/Caroline Zone,4,4,Unsuccessful,,,,
8/5/21,Stuart  Zone,6,6,8/12/21,Colchuck Zone,6,6,8/19/21,Colchuck Zone,6,6,Unsuccessful,,,,
7/23/21,Core Enchantment Zone,6,6,9/10/21,Core Enchantment Zone,6,6,8/24/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
8/29/21,Core Enchantment Zone,4,4,9/1/21,Core Enchantment Zone,4,4,8/25/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
6/25/21,Core Enchantment Zone,4,4,7/30/21,Core Enchantment Zone,4,4,8/6/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/15/21,Core Enchantment Zone,5,5,8/16/21,Core Enchantment Zone,5,5,8/30/21,Core Enchantment Zone,5,5,Unsuccessful,,,,
7/22/21,Core Enchantment Zone,6,6,9/2/21,Core Enchantment Zone,6,6,8/26/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
8/15/21,Core Enchantment Zone,8,8,8/16/21,Core Enchantment Zone,8,8,8/17/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/26/21,Core Enchantment Zone,4,4,8/2/21,Core Enchantment Zone,4,4,7/19/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/29/21,Core Enchantment Zone,6,6,9/3/21,Core Enchantment Zone,5,5,7/31/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/19/21,Core Enchantment Zone,6,6,9/9/21,Core Enchantment Zone,6,6,10/7/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
9/15/21,Core Enchantment Zone,4,4,9/14/21,Core Enchantment Zone,4,4,9/16/21,Snow Zone,4,4,Unsuccessful,,,,
7/22/21,Core Enchantment Zone,8,8,6/17/21,Core Enchantment Zone,8,8,,,,,Unsuccessful,,,,
6/10/21,Core Enchantment Zone,8,8,6/17/21,Core Enchantment Zone,8,8,6/24/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
8/12/21,Core Enchantment Zone,6,6,8/19/21,Core Enchantment Zone,6,6,,,,,Unsuccessful,,,,
5/16/21,Snow Zone,3,3,5/16/21,Eightmile/Caroline Zone,3,3,5/16/21,Core Enchantment Zone,3,3,Accepted,1,5/16/21,Snow Zone,3
8/6/21,Colchuck Zone,6,6,8/6/21,Eightmile/Caroline Zone,6,6,8/27/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
8/6/21,Stuart  Zone,6,6,9/10/21,Stuart  Zone,6,6,9/24/21,Stuart  Zone,6,6,Unsuccessful,,,,
7/17/21,Core Enchantment Zone,8,8,7/24/21,Core Enchantment Zone,8,8,7/10/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
8/9/21,Colchuck Zone,6,6,8/2/21,Colchuck Zone,6,6,8/16/21,Colchuck Zone,6,6,Unsuccessful,,,,
7/24/21,Core Enchantment Zone,4,4,8/7/21,Colchuck Zone,4,4,8/14/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
9/8/21,Core Enchantment Zone,4,4,9/15/21,Core Enchantment Zone,4,4,9/5/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/10/21,Core Enchantment Zone,3,3,7/23/21,Core Enchantment Zone,3,3,8/7/21,Core Enchantment Zone,3,3,Unsuccessful,,,,
9/22/21,Core Enchantment Zone,2,2,9/21/21,Core Enchantment Zone,2,2,9/29/21,Core Enchantment Zone,2,2,Accepted,2,9/21/21,Core Enchantment Zone,2
8/2/21,Core Enchantment Zone,8,8,8/9/21,Core Enchantment Zone,8,8,8/16/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
8/5/21,Core Enchantment Zone,8,8,8/6/21,Core Enchantment Zone,8,8,8/4/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
8/10/21,Core Enchantment Zone,6,6,8/9/21,Core Enchantment Zone,6,6,7/27/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
9/6/21,Core Enchantment Zone,4,4,9/27/21,Core Enchantment Zone,4,4,10/4/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/4/21,Core Enchantment Zone,4,4,7/17/21,Colchuck Zone,5,5,7/10/21,Core Enchantment Zone,5,5,Unsuccessful,,,,
7/16/21,Snow Zone,6,6,7/20/21,Stuart  Zone,6,6,7/27/21,Snow Zone,6,6,Unsuccessful,,,,
8/23/21,Core Enchantment Zone,8,8,8/23/21,Colchuck Zone,8,8,8/23/21,Stuart  Zone,8,8,Unsuccessful,,,,
6/29/21,Core Enchantment Zone,5,5,6/29/21,Colchuck Zone,2,2,6/29/21,Eightmile/Caroline Zone,2,2,Accepted,3,6/29/21,Eightmile/Caroline Zone,2
7/29/21,Core Enchantment Zone,4,4,9/2/21,Core Enchantment Zone,4,4,7/29/21,Snow Zone,4,4,Unsuccessful,,,,
6/25/21,Snow Zone,4,4,7/30/21,Snow Zone,4,4,10/8/21,Snow Zone,4,4,Unsuccessful,,,,
6/3/21,Snow Zone,2,2,5/28/21,Stuart  Zone,2,2,6/3/21,Stuart  Zone,2,2,Accepted,1,6/3/21,Snow Zone,2
8/1/21,Core Enchantment Zone,8,8,8/8/21,Core Enchantment Zone,8,8,8/15/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
8/6/21,Core Enchantment Zone,8,8,8/13/21,Core Enchantment Zone,8,8,8/19/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/29/21,Core Enchantment Zone,5,5,8/12/21,Colchuck Zone,5,5,8/12/21,Eightmile/Caroline Zone,5,5,Unsuccessful,,,,
8/14/21,Eightmile/Caroline Zone,8,8,8/7/21,Eightmile/Caroline Zone,8,8,8/21/21,Eightmile/Caroline Zone,8,8,Unsuccessful,,,,
6/11/21,Core Enchantment Zone,6,6,6/4/21,Core Enchantment Zone,6,6,5/28/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
8/23/21,Core Enchantment Zone,4,4,8/23/21,Core Enchantment Zone,2,2,8/23/21,Snow Zone,3,3,Accepted,1,8/23/21,Core Enchantment Zone,4
8/19/21,Core Enchantment Zone,4,4,7/23/21,Core Enchantment Zone,4,4,9/1/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/21/21,Core Enchantment Zone,5,5,7/25/21,Core Enchantment Zone,5,5,8/8/21,Core Enchantment Zone,5,5,Unsuccessful,,,,
9/21/21,Core Enchantment Zone,3,3,9/28/21,Core Enchantment Zone,3,3,10/5/21,Core Enchantment Zone,3,3,Unsuccessful,,,,
9/9/21,Core Enchantment Zone,8,8,9/9/21,Colchuck Zone,8,8,9/9/21,Snow Zone,8,8,Unsuccessful,,,,
7/12/21,Colchuck Zone,6,6,7/13/21,Colchuck Zone,6,6,9/13/21,Snow Zone,6,6,Unsuccessful,,,,
7/17/21,Colchuck Zone,4,4,7/31/21,Core Enchantment Zone,4,4,8/14/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
9/14/21,Core Enchantment Zone,3,3,9/13/21,Colchuck Zone,3,3,9/15/21,Core Enchantment Zone,3,3,Unsuccessful,,,,
8/14/21,Core Enchantment Zone,6,6,8/21/21,Core Enchantment Zone,6,6,8/7/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
9/17/21,Core Enchantment Zone,6,6,9/10/21,Core Enchantment Zone,6,6,9/24/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
6/4/21,Colchuck Zone,8,8,7/30/21,Core Enchantment Zone,8,8,6/25/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
8/25/21,Core Enchantment Zone,4,4,9/1/21,Colchuck Zone,4,4,8/25/21,Snow Zone,4,4,Unsuccessful,,,,
8/2/21,Core Enchantment Zone,8,8,6/6/21,Colchuck Zone,6,6,10/17/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
9/17/21,Core Enchantment Zone,4,4,9/22/21,Core Enchantment Zone,4,4,9/23/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/23/21,Stuart  Zone,5,5,7/30/21,Stuart  Zone,5,5,8/6/21,Stuart  Zone,5,5,Unsuccessful,,,,
8/18/21,Snow Zone,3,3,8/19/21,Snow Zone,3,3,8/26/21,Colchuck Zone,3,3,Unsuccessful,,,,
6/16/21,Core Enchantment Zone,8,8,6/23/21,Core Enchantment Zone,8,8,9/7/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
9/7/21,Core Enchantment Zone,4,4,9/14/21,Core Enchantment Zone,4,4,9/21/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/15/21,Core Enchantment Zone,5,5,8/12/21,Core Enchantment Zone,5,5,7/29/21,Core Enchantment Zone,5,5,Unsuccessful,,,,
7/4/21,Core Enchantment Zone,2,2,6/6/21,Core Enchantment Zone,2,2,8/8/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
9/1/21,Snow Zone,4,4,8/31/21,Snow Zone,4,4,9/2/21,Snow Zone,4,4,Unsuccessful,,,,
7/18/21,Core Enchantment Zone,8,8,7/18/21,Snow Zone,8,8,7/16/21,Snow Zone,8,8,Declined,2,7/18/21,Snow Zone,8
8/3/21,Core Enchantment Zone,4,4,8/9/21,Colchuck Zone,4,4,8/16/21,Snow Zone,4,4,Unsuccessful,,,,
7/6/21,Stuart  Zone,6,6,7/13/21,Stuart  Zone,6,6,7/20/21,Colchuck Zone,6,6,Unsuccessful,,,,
8/6/21,Core Enchantment Zone,7,7,8/20/21,Core Enchantment Zone,7,7,9/10/21,Core Enchantment Zone,7,7,Unsuccessful,,,,
8/23/21,Core Enchantment Zone,8,8,9/14/21,Eightmile/Caroline Zone,8,8,7/18/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/29/21,Core Enchantment Zone,6,6,8/5/21,Core Enchantment Zone,6,6,8/12/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
7/12/21,Snow Zone,6,6,8/9/21,Colchuck Zone,6,6,8/2/21,Snow Zone,6,6,Unsuccessful,,,,
9/7/21,Core Enchantment Zone,4,4,9/12/21,Core Enchantment Zone,4,4,9/20/21,Core Enchantment Zone,4,4,Cancelled,,,,
9/4/21,Core Enchantment Zone,8,8,8/21/21,Core Enchantment Zone,8,8,9/4/21,Snow Zone,8,8,Unsuccessful,,,,
7/8/21,Core Enchantment Zone,6,6,8/26/21,Core Enchantment Zone,6,6,7/15/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
9/8/21,Core Enchantment Zone,5,5,7/21/21,Colchuck Zone,5,5,8/4/21,Core Enchantment Zone,5,5,Unsuccessful,,,,
8/17/21,Core Enchantment Zone,8,8,8/17/21,Core Enchantment Zone,8,8,8/17/21,Core Enchantment Zone,7,7,Unsuccessful,,,,
9/2/21,Core Enchantment Zone,2,2,9/3/21,Core Enchantment Zone,2,2,9/2/21,Snow Zone,2,2,Accepted,3,9/2/21,Snow Zone,2
9/19/21,Snow Zone,2,2,9/12/21,Snow Zone,2,2,9/12/21,Colchuck Zone,2,2,Unsuccessful,,,,
9/23/21,Colchuck Zone,2,2,9/2/21,Core Enchantment Zone,5,5,9/30/21,Snow Zone,2,2,Unsuccessful,,,,
6/21/21,Core Enchantment Zone,2,2,6/21/21,Colchuck Zone,2,2,6/21/21,Snow Zone,2,2,Unsuccessful,,,,
6/29/21,Core Enchantment Zone,2,2,6/30/21,Core Enchantment Zone,2,2,7/1/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
6/3/21,Colchuck Zone,4,4,5/20/21,Stuart  Zone,4,4,6/10/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
8/22/21,Core Enchantment Zone,8,8,8/23/21,Core Enchantment Zone,8,8,8/22/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
